Temperature,SatVapPressure,VapPressure,Material
19.09155729686514,2347.745789446274,1173.872894723137,Glass Wool
18.79435247502339,2177.9394305690053,1173.7858405238946,Glass Wool
18.497147653181642,2137.7741095349907,1173.6987863246522,Glass Wool
18.199942831339893,2098.2601502095295,1173.6117321254098,Glass Wool
17.902738009498144,2059.388546150605,1173.5246779261674,Glass Wool
17.605533187656395,2021.1503916787237,1173.437623726925,Glass Wool
17.308328365814646,1983.5368810593236,1173.3505695276826,Glass Wool
17.011123543972896,1946.539307688504,1173.2635153284402,Glass Wool
16.713918722131147,1910.1490632820764,1173.1764611291978,Glass Wool
16.4167139002894,1874.3576370679525,1173.0894069299554,Glass Wool
16.11950907844765,1839.1566149818866,1173.002352730713,Glass Wool
15.8223042566059,1804.5376788665894,1172.9152985314706,Glass Wool
15.52509943476415,1770.4926056742274,1172.8282443322282,Glass Wool
15.227894612922402,1737.013266672307,1172.7411901329858,Glass Wool
14.930689791080653,1704.0916266529925,1172.6541359337434,Glass Wool
14.633484969238904,1671.7197431458255,1172.567081734501,Glass Wool
14.336280147397154,1639.889765633911,1172.4800275352586,Glass Wool
14.039075325555405,1608.59393477353,1172.3929733360162,Glass Wool
13.741870503713656,1577.8245816172366,1172.3059191367738,Glass Wool
13.444665681871907,1547.5741268404306,1172.2188649375314,Glass Wool
13.147460860030158,1517.835079971415,1172.131810738289,Glass Wool
12.850256038188409,1488.600038624969,1172.0447565390466,Glass Wool
12.55305121634666,1459.861687739429,1171.9577023398042,Glass Wool
12.25584639450491,1431.6127988173089,1171.8706481405618,Glass Wool
11.958641572663161,1403.8462291694473,1171.7835939413194,Glass Wool
11.661436750821412,1376.554921162718,1171.696539742077,Glass Wool
11.364231928979663,1349.731901471303,1171.6094855428346,Glass Wool
11.067027107137914,1323.3702803315355,1171.5224313435922,Glass Wool
10.769822285296165,1297.4632508003324,1171.4353771443498,Glass Wool
10.472617463454416,1272.0040880172232,1171.3483229451074,Glass Wool
10.175412641612667,1246.986148469986,1171.261268745865,Glass Wool
9.878207819770918,1222.402869263893,1171.1742145466226,Glass Wool
9.581002997929168,1198.2477673945953,1171.0871603473802,Glass Wool
9.28379817608742,1174.5144390246367,1171.0001061481378,Glass Wool
8.98659335424567,1151.1965587636103,1170.9130519488954,Glass Wool
8.689388532403921,1128.2878789519755,1170.825997749653,Glass Wool
8.392183710562172,1105.7822289485364,1170.7389435504106,Glass Wool
8.094978888720423,1083.6735144215954,1170.6518893511682,Glass Wool
7.797774066878673,1061.9557166437814,1170.5648351519258,Glass Wool
7.500569245036923,1040.622891790576,1170.4777809526834,Glass Wool
7.203364423195173,1019.6691702425258,1170.390726753441,Glass Wool
6.906159601353423,999.0887558911685,1170.3036725541986,Glass Wool
6.608954779511673,978.8759254486657,1170.2166183549562,Glass Wool
6.311749957669923,959.0250277611584,1170.1295641557138,Glass Wool
6.014545135828173,939.530483125844,1170.0425099564713,Glass Wool
5.717340313986423,920.386782611792,1169.955455757229,Glass Wool
5.420135492144673,901.5884873844911,1169.8684015579865,Glass Wool
5.122930670302923,883.1302280341503,1169.7813473587441,Glass Wool
4.825725848461173,865.0067039077433,1169.6942931595017,Glass Wool
4.528521026619423,847.2126824448169,1169.6072389602593,Glass Wool
4.231316204777673,829.7429985170544,1169.520184761017,Glass Wool
4.221763192647045,829.1867956089628,1167.188375852738,Concrete
4.212210180516418,828.6309223532081,1164.8565669444592,Concrete
4.20265716838579,828.0753785816893,1162.5247580361804,Concrete
4.1931041562551625,827.5201641263761,1160.1929491279016,Concrete
4.183551144124535,826.9652788193092,1157.8611402196227,Concrete
4.1739981319939075,826.4107224925978,1155.5293313113439,Concrete
4.16444511986328,825.8564949784239,1153.197522403065,Concrete
4.154892107732652,825.3025961090378,1150.8657134947862,Concrete
4.145339095602025,824.7490257167615,1148.5339045865073,Concrete
4.135786083471397,824.1957836339882,1146.2020956782285,Concrete
4.12623307134077,823.6428696931797,1143.8702867699496,Concrete
4.116680059210142,823.0902837268682,1141.5384778616708,Concrete
4.107127047079515,822.5380255676579,1139.206668953392,Concrete
4.097574034948887,821.9860950482224,1136.874860045113,Concrete
4.08802102281826,821.4344920013052,1134.5430511368343,Concrete
4.078468010687632,820.8832162597206,1132.2112422285554,Concrete
4.068914998557005,820.3322676563527,1129.8794333202766,Concrete
4.059361986426377,819.7816460241563,1127.5476244119977,Concrete
4.0498089742957495,819.2313511961563,1125.2158155037189,Concrete
4.040255962165122,818.6813830054472,1122.88400659544,Concrete
4.030702950034494,818.1317412851943,1120.5521976871612,Concrete
4.021149937903867,817.5824258686332,1118.2203887788824,Concrete
4.011596925773239,817.0334365890689,1115.8885798706035,Concrete
4.002043913642612,816.4847732798778,1113.5567709623247,Concrete
3.9924909015119843,815.9364357745038,1111.2249620540458,Concrete
3.9829378893813567,815.3884239064636,1108.893153145767,Concrete
3.973384877250729,814.8407375093426,1106.5613442374881,Concrete
3.9638318651201017,814.2933764167957,1104.2295353292093,Concrete
3.954278852989474,813.7463404625499,1101.8977264209304,Concrete
3.9447258408588466,813.1996294804,1099.5659175126516,Concrete
3.935172828728219,812.6532433042108,1097.2341086043728,Concrete
3.9256198165975915,812.1071817679187,1094.902299696094,Concrete
3.916066804466964,811.5614447055284,1092.570490787815,Concrete
3.9065137923363364,811.0160319511147,1090.2386818795362,Concrete
3.896960780205709,810.4709433388236,1087.9068729712574,Concrete
3.8874077680750814,809.9261787028697,1085.5750640629785,Concrete
3.877854755944454,809.381737877537,1083.2432551546997,Concrete
3.8683017438138263,808.8376206971799,1080.9114462464208,Concrete
3.8587487316831988,808.2938269962236,1078.579637338142,Concrete
3.8491957195525712,807.7503566091605,1076.2478284298631,Concrete
3.8396427074219437,807.2072093705549,1073.9160195215843,Concrete
3.830089695291316,806.6643851150402,1071.5842106133055,Concrete
3.8205366831606886,806.1218836773191,1069.2524017050266,Concrete
3.810983671030061,805.5797048921643,1066.9205927967478,Concrete
3.8014306588994335,805.0378485944183,1064.588783888469,Concrete
3.791877646768806,804.496314618993,1062.25697498019,Concrete
3.7823246346381785,803.9551028008684,1059.9251660719112,Concrete
3.772771622507551,803.4142129750978,1057.5933571636324,Concrete
3.7632186103769234,802.8736449767995,1055.2615482553535,Concrete
3.753665598246296,802.3333986411646,1052.9297393470747,Concrete
3.7441125861156683,801.7934738034522,1050.5979304387959,Concrete
3.734559573985041,801.2538702989923,1048.266121530517,Concrete
3.7250065618544133,800.7145879631818,1045.9343126222382,Concrete
3.7154535497237857,800.1756266314886,1043.6025037139593,Concrete
3.705900537593158,799.6369861394518,1041.2706948056805,Concrete
3.6963475254625306,799.0986663226762,1038.9388858974016,Concrete
3.686794513331903,798.5606670168379,1036.6070769891228,Concrete
3.6772415012012756,798.0229880576836,1034.275268080844,Concrete
3.667688489070648,797.4856292810264,1031.943459172565,Concrete
3.6581354769400205,796.9485905227506,1029.6116502642863,Concrete
3.648582464809393,796.41187161881,1027.2798413560074,Concrete
3.6390294526787654,795.8754724052267,1024.9480324477286,Concrete
3.629476440548138,795.3393927180921,1022.6162235394498,Concrete
3.6199234284175104,794.8036323935675,1020.2844146311711,Concrete
3.610370416286883,794.2681912678821,1017.9526057228924,Concrete
3.6008174041562553,793.7330691773359,1015.6207968146136,Concrete
3.5912643920256277,793.1982659582972,1013.2889879063349,Concrete
3.581711379895,792.6637814472037,1010.9571789980562,Concrete
3.5721583677643727,792.1296154805605,1008.6253700897774,Concrete
3.562605355633745,791.5957678949449,1006.2935611814987,Concrete
3.5530523435031176,791.0622385270015,1003.96175227322,Concrete
3.54349933137249,790.5290272134424,1001.6299433649413,Concrete
3.5339463192418625,789.9961337910521,999.2981344566625,Concrete
3.524393307111235,789.463558096681,996.9663255483838,Concrete
3.5148402949806075,788.9312999672505,994.6345166401051,Concrete
3.50528728284998,788.3993592397501,992.3027077318263,Concrete
3.4957342707193524,787.8677357512379,989.9708988235476,Concrete
3.486181258588725,787.3364293388418,987.6390899152689,Concrete
3.4766282464580973,786.8054398397584,985.3072810069901,Concrete
3.46707523432747,786.274767091251,982.9754720987114,Concrete
